Day_of_Year,Year_of_Period_End,Period_Begin,Period_End,Active_Listings_YOY,Active_Listings,Adjusted_Average_Homes_Sold,Adjusted_Average_Homes_Sold_YOY,Median_Sale_ppsf,Median_Sale_ppsf_YOY,Median_Sale_Price_YOY,Median_Sale_Price
199,2021,6/21/2021,7/18/2021,-0.1888,8467,1425.0,0.287262873,357.5,0.167442414,0.171171171,646750.0
203,2024,6/24/2024,7/21/2024,0.19,7333,941.0,-0.021829522,424.66,0.050187584,0.045985144,760431.2
204,2023,6/26/2023,7/23/2023,-0.2626,6162,962.0,-0.205615194,404.36,0.040648268,0.049251308,727000.0
205,2022,6/27/2022,7/24/2022,0.0165,8356,1211.0,-0.131899642,388.57,0.083367617,0.069309299,692875.0
206,2021,6/28/2021,7/25/2021,-0.201,8220,1395.0,0.252244165,358.67,0.176860005,0.168168993,647965.0
210,2024,7/1/2024,7/28/2024,0.1759,7185,820.0,-0.006060606,424.27,0.047919274,0.037260041,756681.2
211,2023,7/3/2023,7/30/2023,-0.2737,6110,825.0,-0.241030359,404.87,0.058195639,0.062443109,729500.0
212,2022,7/4/2022,7/31/2022,0.0177,8413,1087.0,-0.180241327,382.6,0.070788545,0.07859847,686625.0
213,2021,7/5/2021,8/1/2021,-0.20129999999999998,8267,1326.0,0.063352045,357.31,0.167338307,0.147610109,636590.0
217,2024,7/8/2024,8/4/2024,0.1808,7277,1002.0,0.04921466,419.48,0.040761129,0.024329986,754931.2
218,2023,7/10/2023,8/6/2023,-0.2693,6163,955.0,-0.172443674,403.05,0.059095008,0.057199211,737000.0
219,2022,7/11/2022,8/7/2022,0.0121,8434,1154.0,-0.175125089,380.56,0.067371883,0.091449238,697125.0
220,2021,7/12/2021,8/8/2021,-0.19519999999999998,8333,1399.0,0.076153846,356.54,0.158535351,0.141522398,638715.0
224,2024,7/15/2024,8/11/2024,0.1898,7247,957.0,0.085034014,417.58,0.035840467,0.026360257,759250.0
225,2023,7/17/2023,8/13/2023,-0.27190000000000003,6091,882.0,-0.187096774,403.13,0.066377031,0.070743622,739750.0
226,2022,7/18/2022,8/14/2022,0.0016,8366,1085.0,-0.17989418,378.04,0.068432025,0.094516132,690875.0
227,2021,7/19/2021,8/15/2021,-0.1867,8353,1323.0,0.016910069,353.83,0.152139456,0.127614446,631215.0
231,2024,7/22/2024,8/18/2024,0.19329999999999997,7185,930.0,0.07266436,413.69,0.027050658,0.01980198,746750.0
232,2023,7/24/2023,8/20/2023,-0.2663,6021,867.0,-0.205316224,402.8,0.068006787,0.06722536,732250.0
233,2022,7/25/2022,8/21/2022,-0.0182,8206,1091.0,-0.185212845,377.15,0.066884636,0.091686555,686125.0
234,2021,7/26/2021,8/22/2021,-0.1795,8358,1339.0,-0.010347376,353.5,0.13957655,0.110287302,628500.0
238,2024,7/29/2024,8/25/2024,0.1895,7093,900.0,0.10974106,411.22,0.027510704,0.01658604,735500.0
239,2023,7/31/2023,8/27/2023,-0.25379999999999997,5963,811.0,-0.180808081,400.21,0.064359458,0.064166207,723500.0
240,2022,8/1/2022,8/28/2022,-0.034,7991,990.0,-0.181141439,376.01,0.060703054,0.078952589,679875.0
241,2021,8/2/2021,8/29/2021,-0.18,8272,1209.0,-0.038186158,354.5,0.140596255,0.105832248,630125.0
245,2024,8/5/2024,9/1/2024,0.1778,6869,869.0,0.03452381,410.08,0.032078448,0.024921025,730000.0
246,2023,8/7/2023,9/3/2023,-0.2429,5832,840.0,-0.224376731,397.33,0.065757417,0.067041199,712250.0
247,2022,8/8/2022,9/4/2022,-0.0441,7703,1083.0,-0.170750383,372.82,0.055283833,0.072073881,667500.0
248,2021,8/9/2021,9/5/2021,-0.1885,8058,1306.0,-0.03473762,353.29,0.14134209,0.089934354,622625.0
252,2024,8/12/2024,9/8/2024,0.1655,6816,835.0,0.00240096,404.74,0.025170369,0.036071429,725250.0
253,2023,8/14/2023,9/10/2023,-0.22469999999999998,5848,833.0,-0.195169082,394.8,0.072218313,0.061812666,700000.0
254,2022,8/15/2022,9/11/2022,-0.0582,7543,1035.0,-0.175298805,368.21,0.038361953,0.058823529,659250.0
255,2021,8/16/2021,9/12/2021,-0.1954,8009,1255.0,-0.004758128,354.61,0.14809136,0.099558499,622625.0
259,2024,8/19/2024,9/15/2024,0.1567,6923,800.6369272,-0.004182926,406.09,0.037476829,0.030843806,717725.0
260,2023,8/21/2023,9/17/2023,-0.2121,5985,804.0,-0.19760479,391.42,0.071818188,0.068277714,696250.0
261,2022,8/22/2022,9/18/2022,-0.0653,7596,1002.0,-0.195826645,365.19,0.038865542,0.058250457,651750.0
262,2021,8/23/2021,9/19/2021,-0.1957,8127,1246.0,-0.020440252,351.53,0.147247229,0.099776786,615875.0
266,2024,8/26/2024,9/22/2024,0.15539999999999998,7144,782.8540743,0.027367552,404.2,0.03147738,0.030321648,712725.0
267,2023,8/28/2023,9/24/2023,-0.20149999999999998,6183,762.0,-0.183279743,391.86,0.077530359,0.07040619,691750.0
268,2022,8/29/2022,9/25/2022,-0.0721,7743,933.0,-0.206632653,363.67,0.049447302,0.060295324,646250.0
269,2021,8/30/2021,9/26/2021,-0.1907,8345,1176.0,0.00944206,346.53,0.132475314,0.092783505,609500.0
273,2024,9/2/2024,9/29/2024,0.1531,7503,691.9187276,-0.028204034,402.69,0.026461644,0.031686349,708510.6
274,2023,9/4/2023,10/1/2023,-0.19039999999999999,6507,712.0,-0.203579418,392.31,0.082171527,0.067210567,686750.0
275,2022,9/5/2022,10/2/2022,-0.08380000000000001,8037,894.0,-0.236549957,362.52,0.060150829,0.060568603,643500.0
276,2021,9/6/2021,10/3/2021,-0.1773,8772,1171.0,-0.040163934,341.95,0.118071031,0.095216606,606750.0
280,2024,9/9/2024,10/6/2024,0.1594,7747,763.2007652,0.076446777,402.45,0.028402157,0.032048012,700760.6
281,2023,9/11/2023,10/8/2023,-0.18109999999999998,6682,709.0,-0.196145125,391.33,0.081797904,0.064263323,679000.0
282,2022,9/12/2022,10/9/2022,-0.08779999999999999,8160,882.0,-0.236363636,361.74,0.071813295,0.060240964,638000.0
283,2021,9/13/2021,10/10/2021,-0.1778,8945,1155.0,-0.075260208,337.51,0.107377739,0.086130167,601750.0
288,2023,9/18/2023,10/15/2023,-0.1702,6792,664.0,-0.200962696,392.87,0.085035104,0.078284815,685250.0
289,2022,9/19/2022,10/16/2022,-0.0848,8185,831.0,-0.239010989,362.08,0.07492671,0.05960817,635500.0
290,2021,9/20/2021,10/17/2021,-0.188,8943,1092.0,-0.095277548,336.84,0.100408999,0.082520262,599750.0
295,2023,9/25/2023,10/22/2023,-0.1635,6837,683.0,-0.193624557,390.89,0.083458009,0.066015625,682250.0
296,2022,9/26/2022,10/23/2022,-0.07690000000000001,8173,847.0,-0.203198495,360.78,0.073198417,0.067111296,640000.0
297,2021,9/27/2021,10/24/2021,-0.2011,8854,1063.0,-0.101437025,336.17,0.097911391,0.080569885,599750.0
302,2023,10/2/2023,10/29/2023,-0.1547,6830,628.0,-0.193838254,391.99,0.08102887,0.092423641,688500.0
303,2022,10/3/2022,10/30/2022,-0.0596,8080,779.0,-0.2487946,362.61,0.072003161,0.054811715,630250.0
304,2021,10/4/2021,10/31/2021,-0.2195,8592,1037.0,-0.118946474,338.25,0.100829487,0.083838883,597500.0
309,2023,10/9/2023,11/5/2023,-0.1467,6850,710.0,-0.158767773,391.32,0.079007159,0.083202512,690000.0
310,2022,10/10/2022,11/6/2022,-0.039900000000000005,8028,844.0,-0.222119816,362.67,0.05965557,0.056713323,637000.0
311,2021,10/11/2021,11/7/2021,-0.22820000000000001,8362,1085.0,-0.094323873,342.25,0.113340966,0.088600451,602812.5
316,2023,10/16/2023,11/12/2023,-0.1402,6790,716.0,-0.117139334,389.06,0.075168483,0.052446939,675000.0
317,2022,10/17/2022,11/13/2022,-0.0208,7897,811.0,-0.245581395,361.86,0.051347816,0.051952845,641362.5
318,2021,10/18/2021,11/14/2021,-0.2361,8065,1075.0,-0.086661003,344.19,0.114517655,0.101015801,609687.5
323,2023,10/23/2023,11/19/2023,-0.1328,6686,751.0,-0.115429918,388.65,0.071540407,0.057241689,676225.0
324,2022,10/24/2022,11/20/2022,-0.0016,7710,849.0,-0.285353535,362.7,0.045470082,0.042669384,639612.5
325,2021,10/25/2021,11/21/2021,-0.242,7722,1188.0,-0.051875499,346.92,0.111899488,0.109039548,613437.5
330,2023,10/30/2023,11/26/2023,-0.1301,6439,681.0,-0.063273728,384.76,0.081647854,0.037894037,663850.0
331,2022,10/31/2022,11/27/2022,0.0189,7402,727.0,-0.267875126,355.71,0.018149608,0.038437341,639612.5
332,2021,11/1/2021,11/28/2021,-0.2488,7265,993.0,-0.033106134,349.37,0.116082276,0.11861521,615937.5
337,2023,11/6/2023,12/3/2023,-0.1272,6170,705.0,-0.089147287,385.45,0.078477342,0.048771371,666350.0
338,2022,11/7/2022,12/4/2022,0.0388,7069,774.0,-0.310160428,357.41,0.027650292,0.03584675,635362.5
339,2021,11/8/2021,12/5/2021,-0.2586,6805,1122.0,-0.036082474,347.79,0.103206355,0.106426156,613375.0
344,2023,11/13/2023,12/10/2023,-0.1223,5855,714.0,-0.118518519,384.61,0.087750786,0.072299721,672600.0
345,2022,11/14/2022,12/11/2022,0.0602,6671,810.0,-0.303525365,353.59,0.011496107,0.021579805,627250.0
346,2021,11/15/2021,12/12/2021,-0.2696,6292,1163.0,-0.005132592,349.57,0.11379848,0.105061867,614000.0
351,2023,11/20/2023,12/17/2023,-0.1164,5512,687.0,-0.114690722,386.4,0.095594057,0.090562249,678875.0
352,2022,11/21/2022,12/18/2022,0.0817,6238,776.0,-0.319894829,352.68,-0.001901658,0.00973236,622500.0
353,2021,11/22/2021,12/19/2021,-0.2804,5767,1141.0,-0.04438861,353.36,0.134997937,0.110810811,616500.0
358,2023,11/27/2023,12/24/2023,-0.10779999999999999,5197,746.0,-0.0968523,387.23,0.082554101,0.107287449,683750.0
359,2022,11/28/2022,12/25/2022,0.1043,5825,826.0,-0.295221843,357.7,0.013120935,-0.004433696,617500.0
360,2021,11/29/2021,12/26/2021,-0.2898,5275,1172.0,-0.02006689,353.07,0.137370453,0.120090293,620250.0
365,2023,12/4/2023,12/31/2023,-0.107,4772,616.0,-0.150344828,387.21,0.093949223,0.105110096,665000.0
