Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
560000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,3,2,2,7,106,25,21
383200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
344000,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,8,4,4,16,173,38,29
344000,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,8,4,4,16,173,38,29
391200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,306,34,61
391200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,306,34,61
384000,"Jamaica Plain, Boston, MA",2.0,1.0,2,42,9,7,7,23,190,33,29
480000,"Jamaica Plain, Boston, MA",4.0,1.5,2,53,6,2,2,10,129,30,23
632000,"Jamaica Plain, Boston, MA",4.0,2.0,2,53,6,3,3,12,173,38,29
544000,"Jamaica Plain, Boston, MA",5.0,1.0,1,42,2,2,2,6,71,18,17
332800,"Jamaica Plain, Boston, MA",2.0,1.0,5,42,4,3,3,10,113,24,21
463200,"Jamaica Plain, Boston, MA",3.0,2.0,5,42,4,4,4,12,106,23,20
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
367200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
344000,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,8,4,4,16,173,38,29
344000,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,7,4,4,15,178,40,29
348000,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,8,4,4,16,178,40,29
344000,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,7,4,4,15,178,40,29
304000,"Jamaica Plain, Boston, MA",1.0,1.0,2,42,9,7,7,23,190,33,29
383200,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,298,34,59
520000,"Jamaica Plain, Boston, MA",4.0,2.0,5,42,3,3,3,9,115,25,20
512000,"Jamaica Plain, Boston, MA",4.0,2.0,2,42,9,8,8,25,190,33,28
431200,"Jamaica Plain, Boston, MA",3.0,2.0,3,53,7,4,4,15,178,40,29
