Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife,Median Household Income by Area,Median Age by Area,Total Population by Area,Occupied by Area,Vacant by Area,Work Commute Short by Area,Work Commute Average by Area,Work Commute Long by Area,Compare Median Sale Price
400000,East Boston,2.0,1.0,4,41,4,2,0,6,465,63,193,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
432000,East Boston,3.0,1.0,4,41,5,2,0,7,409,58,166,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
432000,East Boston,2.0,1.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
800000,East Boston,5.0,3.0,4,41,7,4,4,15,303,46,94,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,1
528000,East Boston,3.0,2.0,2,41,5,2,2,9,167,43,32,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
536000,East Boston,3.0,2.0,4,41,4,2,0,6,383,58,153,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
560000,East Boston,3.0,2.0,2,41,5,2,0,7,472,62,194,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
591200,East Boston,3.0,2.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
588000,East Boston,3.0,2.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
384000,East Boston,2.0,1.0,4,41,4,2,0,6,409,58,166,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
320000,East Boston,1.0,1.0,3,41,5,2,2,9,199,37,53,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
608000,East Boston,3.0,2.0,2,41,4,3,3,10,501,64,203,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
320000,East Boston,1.0,1.0,2,41,6,3,3,12,201,34,57,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
559840,East Boston,2.0,1.0,1,41,3,2,0,5,587,71,233,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
568000,East Boston,2.0,2.0,1,41,2,2,2,6,535,73,216,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
575200,East Boston,3.0,2.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
576000,East Boston,3.0,2.0,2,41,4,3,3,10,501,64,203,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
352000,East Boston,1.0,1.0,2,41,3,0,2,5,213,38,57,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
648000,East Boston,6.0,2.0,4,41,6,3,3,12,258,43,73,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
444000,East Boston,2.0,1.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
448000,East Boston,2.0,1.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
512000,East Boston,3.0,2.0,3,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
384000,East Boston,2.0,2.0,2,41,8,4,0,12,285,38,99,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
720000,East Boston,5.0,3.0,2,41,6,3,3,12,201,34,54,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,1
367200,East Boston,1.0,1.0,2,41,6,3,3,12,223,36,61,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
607200,East Boston,3.0,2.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
620000,East Boston,3.0,2.0,4,41,6,3,3,12,248,42,70,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
496000,East Boston,3.0,2.0,3,41,5,2,2,9,167,43,32,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
240000,Charlestown,1.0,1.0,1,56,1,2,2,5,297,44,99,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
352000,Charlestown,2.0,1.0,1,56,1,2,2,5,270,43,91,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
480000,Charlestown,3.0,1.0,3,56,2,3,3,8,426,64,146,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
336000,Charlestown,1.0,1.0,1,56,2,2,2,6,361,64,123,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
679440,Charlestown,3.0,2.0,1,56,2,2,2,6,225,46,68,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,1
560000,Charlestown,3.0,2.0,1,56,2,2,2,6,281,37,97,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
672000,Charlestown,4.0,2.0,1,56,2,2,2,6,225,46,68,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,1
400000,Charlestown,1.0,1.0,1,56,2,2,2,6,281,37,97,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
736000,Charlestown,4.0,2.0,1,56,2,2,2,6,225,46,68,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,1
502800,Charlestown,2.0,2.0,1,56,1,2,2,5,270,38,99,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
416000,Charlestown,1.0,1.0,1,56,2,2,2,6,543,76,190,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
536000,Charlestown,1.0,1.0,1,56,1,1,1,3,408,67,148,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
356000,Charlestown,1.0,1.0,1,56,1,1,1,3,416,67,148,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
586000,Charlestown,3.0,2.0,1,56,1,2,2,5,220,41,66,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
240000,Charlestown,1.0,1.0,1,56,1,2,2,5,297,44,99,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
312000,Charlestown,2.0,1.0,3,56,2,2,2,6,307,67,108,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
