Rent,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
1950,"West Roxbury, Boston, MA",2.0,1.0,1,77,3,3,3,9,19,4,2
950,"West Roxbury, West Roxbury, MA",1.0,2.0,1,83,2,3,3,8,57,8,6
1975,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,2,1,1,4,43,9,2
1700,"West Roxbury, Boston, MA",1.0,1.0,1,83,2,2,2,6,25,4,2
2025,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,2,1,1,4,43,9,2
3150,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,3,5,5,13,62,8,6
2200,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,1,0,0,1,51,10,5
2000,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,49,9,5
2450,"West Roxbury, Chestnut Hill, MA",1.0,1.5,1,77,2,2,2,6,38,5,6
2745,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,3,2,0,5,61,13,8
2875,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,3,2,0,5,61,13,8
1750,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,3,3,3,9,28,5,3
2200,"West Roxbury, Boston, MA",2.0,1.0,1,83,1,2,2,5,51,6,5
1750,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,2,2,2,6,21,3,2
2730,"West Roxbury, West Roxbury, MA",4.0,1.5,1,83,3,5,5,13,65,8,6
3500,"West Roxbury, Boston, MA",5.0,2.0,1,83,3,2,2,7,77,16,15
1600,"West Roxbury, Boston, MA",1.0,1.0,1,83,4,5,5,14,59,9,6
1600,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,1,1,1,3,45,7,5
2100,"West Roxbury, Boston, MA",2.0,1.0,1,83,3,2,0,5,76,17,13
1800,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,3,3,3,9,28,5,3
3000,"West Roxbury, Boston, MA",3.0,1.0,1,20,2,2,2,6,15,3,0
2170,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,4,2,2,8,42,6,4
2725,"West Roxbury, West Roxbury, MA",4.0,2.0,1,83,0,0,0,0,59,12,6
2850,"West Roxbury, West Roxbury, MA",4.0,2.0,1,83,0,0,0,0,59,13,7
2000,"West Roxbury, Boston, MA",2.0,1.0,1,83,5,6,6,17,56,8,6
2350,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,1,1,1,3,45,7,5
4950,"West Roxbury, Newton, MA",4.0,4.0,1,77,1,1,1,3,58,13,13
1750,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,2,2,2,6,31,4,3
2795,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,3,2,0,5,61,15,8
2500,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,3,2,2,7,62,14,9
3000,"West Roxbury, West Roxbury, MA",3.0,1.5,1,83,1,1,1,3,67,15,15
3000,"West Roxbury, West Roxbury, MA",3.0,1.5,1,83,1,1,1,3,67,15,15
2000,"West Roxbury, Boston, MA",2.0,1.5,1,83,2,1,1,4,55,6,10
2095,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,4,2,2,8,47,7,5
2100,"West Roxbury, West Roxbury, MA",2.0,1.0,1,83,4,2,2,8,34,6,3
3200,"West Roxbury, Boston, MA",4.0,1.0,1,20,2,2,2,6,15,3,0
1750,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,2,0,0,2,55,9,5
1675,"West Roxbury, Boston, MA",1.0,1.0,1,83,3,5,5,13,59,10,7
2375,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,2,2,2,6,34,5,4
3500,"West Roxbury, Boston, MA",2.0,1.0,1,83,1,1,0,2,46,8,4
2400,"West Roxbury, Newton, MA",2.0,2.0,1,77,3,3,3,9,25,3,2
1775,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,2,1,1,4,43,9,2
2330,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,2,2,2,6,38,5,6
2875,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,2,2,2,6,38,5,6
3300,"West Roxbury, Boston, MA",4.0,1.5,1,83,5,5,5,15,75,16,15
1750,"West Roxbury, Boston, MA",1.0,1.0,1,83,2,1,1,4,43,9,2
2950,"West Roxbury, Chestnut Hill, MA",2.0,1.0,1,77,2,2,2,6,38,5,6
3506,"West Roxbury, Boston, MA",3.0,2.0,1,83,4,6,6,16,59,8,6
2500,"West Roxbury, West Roxbury, MA",2.0,2.0,1,83,3,2,2,7,45,9,2
2100,"West Roxbury, Boston, MA",1.0,1.0,1,21,3,5,5,13,62,8,6
3700,"West Roxbury, Boston, MA",1.0,1.0,1,28,3,2,2,7,75,17,16
2525,"West Roxbury, Chestnut Hill, MA",2.0,1.5,1,77,2,2,2,6,42,5,7
2500,"West Roxbury, West Roxbury, MA",2.0,2.0,1,83,0,1,3,4,51,6,5
3050,"West Roxbury, Boston, MA",2.0,1.5,1,83,1,1,1,3,44,9,7
2525,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,2,2,2,6,36,5,4
