Day of Year,Year of Period End,Period Begin,Period End,Median Sale Ppsf (tooltip),Median Sale Ppsf Yoy (tooltip),Median Sale Ppsf Yoy,Median Sale Ppsf
260,2023,8/21/2023,9/17/2023,$391.42 ,7.18%,0.071818188,$391 
261,2022,8/22/2022,9/18/2022,$365.19 ,3.89%,0.038865542,$365 
262,2021,8/23/2021,9/19/2021,$351.53 ,14.72%,0.147247229,$352 
266,2024,8/26/2024,9/22/2024,$404.20 ,3.15%,0.03147738,$404 
267,2023,8/28/2023,9/24/2023,$391.86 ,7.75%,0.077530359,$392 
268,2022,8/29/2022,9/25/2022,$363.67 ,4.94%,0.049447302,$364 
269,2021,8/30/2021,9/26/2021,$346.53 ,13.25%,0.132475314,$347 
273,2024,9/2/2024,9/29/2024,$402.69 ,2.65%,0.026461644,$403 
274,2023,9/4/2023,10/1/2023,$392.31 ,8.22%,0.082171527,$392 
275,2022,9/5/2022,10/2/2022,$362.52 ,6.02%,0.060150829,$363 
276,2021,9/6/2021,10/3/2021,$341.95 ,11.81%,0.118071031,$342 
280,2024,9/9/2024,10/6/2024,$402.45 ,2.84%,0.028402157,$402 
281,2023,9/11/2023,10/8/2023,$391.33 ,8.18%,0.081797904,$391 
282,2022,9/12/2022,10/9/2022,$361.74 ,7.18%,0.071813295,$362 
283,2021,9/13/2021,10/10/2021,$337.51 ,10.74%,0.107377739,$338 
288,2023,9/18/2023,10/15/2023,$392.87 ,8.50%,0.085035104,$393 
289,2022,9/19/2022,10/16/2022,$362.08 ,7.49%,0.07492671,$362 
290,2021,9/20/2021,10/17/2021,$336.84 ,10.04%,0.100408999,$337 
295,2023,9/25/2023,10/22/2023,$390.89 ,8.35%,0.083458009,$391 
296,2022,9/26/2022,10/23/2022,$360.78 ,7.32%,0.073198417,$361 
297,2021,9/27/2021,10/24/2021,$336.17 ,9.79%,0.097911391,$336 
302,2023,10/2/2023,10/29/2023,$391.99 ,8.10%,0.08102887,$392 
303,2022,10/3/2022,10/30/2022,$362.61 ,7.20%,0.072003161,$363 
304,2021,10/4/2021,10/31/2021,$338.25 ,10.08%,0.100829487,$338 
309,2023,10/9/2023,11/5/2023,$391.32 ,7.90%,0.079007159,$391 
310,2022,10/10/2022,11/6/2022,$362.67 ,5.97%,0.05965557,$363 
311,2021,10/11/2021,11/7/2021,$342.25 ,11.33%,0.113340966,$342 
316,2023,10/16/2023,11/12/2023,$389.06 ,7.52%,0.075168483,$389 
317,2022,10/17/2022,11/13/2022,$361.86 ,5.13%,0.051347816,$362 
318,2021,10/18/2021,11/14/2021,$344.19 ,11.45%,0.114517655,$344 
323,2023,10/23/2023,11/19/2023,$388.65 ,7.15%,0.071540407,$389 
324,2022,10/24/2022,11/20/2022,$362.70 ,4.55%,0.045470082,$363 
325,2021,10/25/2021,11/21/2021,$346.92 ,11.19%,0.111899488,$347 
330,2023,10/30/2023,11/26/2023,$384.76 ,8.16%,0.081647854,$385 
331,2022,10/31/2022,11/27/2022,$355.71 ,1.81%,0.018149608,$356 
